VitenskapeligNavn;VitenskapeligNavnAutor;NorskNavn;VitenskapeligNavnHierarki;Taksnomisk nivå;Ekspertgruppe;Vurderingsområde;AndelAvEuropeisk populasjon;Kategori2021;Kriterier2021
Calcarius lapponicus;(Linnaeus, 1758);lappspurv;Animalia/Chordata/Aves/Passeriformes/Calcariidae/Calcarius/lapponicus;art;Fugler (Norge);Fastlands-Norge med havområder;25 - 50 %;EN;A2(b)
Caliciopsis calicioides;(Ellis & Everh.) Fitzp.;;Fungi/Ascomycota/Eurotiomycetes/Coryneliales/Coryneliaceae/Caliciopsis/calicioides;art;Sopper;Fastlands-Norge med havområder;25 - 50 %;VU;C1
Calidris temminckii;(Leisler, 1812);temmincksnipe;Animalia/Chordata/Aves/Charadriiformes/Scolopacidae/Calidris/temminckii;art;Fugler (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Campylopus schimperi;Milde;filtsåtemose;Plantae/Bryophyta/Bryopsida/Dicranales/Leucobryaceae/Campylopus/schimperi;art;Moser;Fastlands-Norge med havområder;25 - 50 %;LC;
Cantharellus melanoxeros;Desm. : Fr.;svartnende kantarell;Fungi/Basidiomycota/Agaricomycetes/Cantharellales/Cantharellaceae/Cantharellus/melanoxeros;art;Sopper;Fastlands-Norge med havområder;25 - 50 %;NT;C1
Cardamine bellidifolia;L.;høyfjellskarse;Plantae/Magnoliophyta/Eudicots/Brassicales/Brassicaceae/Cardamine/bellidifolia;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;NT;A3(c,e)
Cardamine nymanii;Gand.;polarkarse;Plantae/Magnoliophyta/Eudicots/Brassicales/Brassicaceae/Cardamine/nymanii;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Carex ×grahamii;Boott;vierstarr;Plantae/Magnoliophyta/Monocots/Poales/Cyperaceae/Carex/×grahamii;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Carex adelostoma;V.I.Krecz.;tranestarr;Plantae/Magnoliophyta/Monocots/Poales/Cyperaceae/Carex/adelostoma;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Carex atrofusca;Schkuhr;sotstarr;Plantae/Magnoliophyta/Monocots/Poales/Cyperaceae/Carex/atrofusca;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Carex bigelowii;Torr. ex Schwein.;stivstarr;Plantae/Magnoliophyta/Monocots/Poales/Cyperaceae/Carex/bigelowii;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Carex capitata;L.;hodestarr;Plantae/Magnoliophyta/Monocots/Poales/Cyperaceae/Carex/capitata;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Carex concolor;R.Br.;tundrastarr;Plantae/Magnoliophyta/Monocots/Poales/Cyperaceae/Carex/concolor;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Carex glacialis;Mack.;rabbestarr;Plantae/Magnoliophyta/Monocots/Poales/Cyperaceae/Carex/glacialis;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;NT;A3(c,e)
Carex heleonastes;Ehrh. ex L.f.;huldrestarr;Plantae/Magnoliophyta/Monocots/Poales/Cyperaceae/Carex/heleonastes;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;NT;A2(c)+4(a,b,c)
Carex lachenalii;Schkuhr;rypestarr;Plantae/Magnoliophyta/Monocots/Poales/Cyperaceae/Carex/lachenalii;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Carex livida;(Wahlenb.) Willd.;blystarr;Plantae/Magnoliophyta/Monocots/Poales/Cyperaceae/Carex/livida;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Carex mackenziei;V.I.Krecz.;pølstarr;Plantae/Magnoliophyta/Monocots/Poales/Cyperaceae/Carex/mackenziei;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Carex macloviana;d'Urv.;lemenstarr;Plantae/Magnoliophyta/Monocots/Poales/Cyperaceae/Carex/macloviana;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;EN;B2a(i)b(i,ii,iv,v)
Carex maritima;Gunnerus;buestarr;Plantae/Magnoliophyta/Monocots/Poales/Cyperaceae/Carex/maritima;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Carex media;R.Br.;taigastarr;Plantae/Magnoliophyta/Monocots/Poales/Cyperaceae/Carex/media;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Carex nardina;Fr.;skjeggstarr;Plantae/Magnoliophyta/Monocots/Poales/Cyperaceae/Carex/nardina;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;NT;"A3(c,e); B2b(iii)"
Carex norvegica;Retz.;fjellstarr;Plantae/Magnoliophyta/Monocots/Poales/Cyperaceae/Carex/norvegica;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Carex rariflora;(Wahlenb.) Sm.;snipestarr;Plantae/Magnoliophyta/Monocots/Poales/Cyperaceae/Carex/rariflora;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Carex rotundata;Wahlenb.;rundstarr;Plantae/Magnoliophyta/Monocots/Poales/Cyperaceae/Carex/rotundata;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Carex rufina;Drejer;jøkelstarr;Plantae/Magnoliophyta/Monocots/Poales/Cyperaceae/Carex/rufina;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;VU;A3(c,e)
Carex saxatilis;L.;blankstarr;Plantae/Magnoliophyta/Monocots/Poales/Cyperaceae/Carex/saxatilis;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Carex vaginata;Tausch;slirestarr;Plantae/Magnoliophyta/Monocots/Poales/Cyperaceae/Carex/vaginata;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Cerastium nigrescens;(H.C.Watson) Edmondston ex H.C.Watson;snøarve;Plantae/Magnoliophyta/Eudicots/Caryophyllales/Caryophyllaceae/Cerastium/nigrescens;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;VU;A3(c,e)
Chaenotheca hygrophila;Tibell;sumphodenål;Fungi/Ascomycota/Sordariomycetes/Incertae sedis/Coniocybaceae/Chaenotheca/hygrophila;art;Laver;Fastlands-Norge med havområder;25 - 50 %;CR;D1
Chaetophorura arctica;(Wahlgren, 1900);;Animalia/Arthropoda/Entognatha/Collembola/Onychiuridae/Chaetophorura/arctica;art;Spretthaler;Fastlands-Norge med havområder;25 - 50 %;LC;
Chalcosyrphus jacobsoni;(Stackelberg, 1921);nordlig råtevedblomsterflue;Animalia/Arthropoda/Insecta/Diptera/Syrphidae/Chalcosyrphus/jacobsoni;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;VU;B1a((i))b(iii)+2a((i))b(iii)
Chamorchis alpina;(L.) Rich.;fjellkurle;Plantae/Magnoliophyta/Monocots/Asparagales/Orchidaceae/Chamorchis/alpina;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;NT;A3(c,e)
Cheilosia ingerae;Nielsen & Claussen, 2001;nordlig urteblomsterflue;Animalia/Arthropoda/Insecta/Diptera/Syrphidae/Cheilosia/ingerae;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;LC;
Chersodromia speculifera;Walker, 1851;;Animalia/Arthropoda/Insecta/Diptera/Hybotidae/Chersodromia/speculifera;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;NT;B2a((i))b(iii)
Chirolophis ascanii;(Walbaum, 1792);hornkvabbe;Animalia/Chordata/Actinopterygii/Perciformes/Stichaeidae/Chirolophis/ascanii;art;Fisker;Fastlands-Norge med havområder;25 - 50 %;LC;
Choreutinula kulla;Fjellberg, 2007;;Animalia/Arthropoda/Entognatha/Collembola/Hypogastruridae/Choreutinula/kulla;art;Spretthaler;Fastlands-Norge med havområder;25 - 50 %;EN;B1a(ii)b(ii,iii,iv)+2a(ii)b(ii,iii,iv)
Chrysis vanlithi;Linsenmaier, 1959;kystgullveps;Animalia/Arthropoda/Insecta/Hymenoptera/Chrysididae/Chrysis/vanlithi;art;Vepser;Fastlands-Norge med havområder;25 - 50 %;NT;B2b(iii)
Chrysosyrphus nasutus;(Zetterstedt, 1838);mørkhåret finnmarkblomsterflue;Animalia/Arthropoda/Insecta/Diptera/Syrphidae/Chrysosyrphus/nasutus;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;LC;
Chrysosyrphus niger;(Zetterstedt, 1843);lyshåret finnmarkblomsterflue;Animalia/Arthropoda/Insecta/Diptera/Syrphidae/Chrysosyrphus/niger;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;LC;
Cinclidium arcticum;(Bruch & Schimp.) Schimp.;fjellgittermose;Plantae/Bryophyta/Bryopsida/Bryales/Mniaceae/Cinclidium/arcticum;art;Moser;Fastlands-Norge med havområder;25 - 50 %;VU;C2a(i)
Cinclidium subrotundum;Lindb.;rundgittermose;Plantae/Bryophyta/Bryopsida/Bryales/Mniaceae/Cinclidium/subrotundum;art;Moser;Fastlands-Norge med havområder;25 - 50 %;LC;
Cinetus antennatus;Buhl, 1997;;Animalia/Arthropoda/Insecta/Hymenoptera/Diapriidae/Cinetus/antennatus;art;Vepser;Fastlands-Norge med havområder;25 - 50 %;DD;
Cinna latifolia;(Trevir.) Griseb.;huldregras;Plantae/Magnoliophyta/Monocots/Poales/Poaceae/Cinna/latifolia;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;NT;A2(a,c)+3(c)
Clavularia arctica;(M. Sars, 1860);;Animalia/Cnidaria/Anthozoa/Alcyonacea/Clavulariidae/Clavularia/arctica;art;Koralldyr;Fastlands-Norge med havområder;25 - 50 %;DD;
Coelosia limpida;Plassmann, 1986;;Animalia/Arthropoda/Insecta/Diptera/Mycetophilidae/Coelosia/limpida;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;LC;
Coleochaete conchata;Möbius;;Plantae/Streptophyta/Coleochaetophyceae/Coleochaetales/Coleochaetaceae/Coleochaete/conchata;art;Alger;Fastlands-Norge med havområder;25 - 50 %;NT;"B1a(i)+2a(i); D2"
Coleochaete sieminskiana;Szymanska;;Plantae/Streptophyta/Coleochaetophyceae/Coleochaetales/Coleochaetaceae/Coleochaete/sieminskiana;art;Alger;Fastlands-Norge med havområder;25 - 50 %;NT;D2
Coleophora algidella;Zeller, 1857;;Animalia/Arthropoda/Insecta/Lepidoptera/Coleophoridae/Coleophora/algidella;art;Sommerfugler;Fastlands-Norge med havområder;25 - 50 %;LC;
Colus sabini;(Gray, 1824);;Animalia/Mollusca/Gastropoda/Buccinoidea/Buccinidae/Colus/sabini;art;Bløtdyr;Fastlands-Norge med havområder;25 - 50 %;LC;
Conostomum tetragonum;(Hedw.) Lindb.;hjelmmose;Plantae/Bryophyta/Bryopsida/Bartramiales/Bartramiaceae/Conostomum/tetragonum;art;Moser;Fastlands-Norge med havområder;25 - 50 %;VU;A3(c)
Cortinarius caesiocinctus;Kühner;kalksteinslørsopp;Fungi/Basidiomycota/Agaricomycetes/Agaricales/Cortinariaceae/Cortinarius/caesiocinctus;art;Sopper;Fastlands-Norge med havområder;25 - 50 %;EN;C2a(i)
Cortinarius caesiophylloides;Kytöv., Liimat., Niskanen, Brandrud & Frøslev;;Fungi/Basidiomycota/Agaricomycetes/Agaricales/Cortinariaceae/Cortinarius/caesiophylloides;art;Sopper;Fastlands-Norge med havområder;25 - 50 %;NT;D1
Cortinarius camptoros;Brandrud & Melot;birislørsopp;Fungi/Basidiomycota/Agaricomycetes/Agaricales/Cortinariaceae/Cortinarius/camptoros;art;Sopper;Fastlands-Norge med havområder;25 - 50 %;EN;"B2a(i)b(ii,iii,iv); C2a(i)"
Cortinarius cobaltinus;Kytöv., Liimat. & Niskanen;koboltslørsopp;Fungi/Basidiomycota/Agaricomycetes/Agaricales/Cortinariaceae/Cortinarius/cobaltinus;art;Sopper;Fastlands-Norge med havområder;25 - 50 %;EN;"B2a(i)b(ii,iii,iv); C2a(i)"
Cortinarius cordatae;T.S. Jeppesen, Brandrud & Frøslev;ladegårdsslørsopp;Fungi/Basidiomycota/Agaricomycetes/Agaricales/Cortinariaceae/Cortinarius/cordatae;art;Sopper;Fastlands-Norge med havområder;25 - 50 %;EN;"B2a(i)b(ii,iii); C2a(i)"
Cortinarius dalecarlicus;Brandrud;silurslørsopp;Fungi/Basidiomycota/Agaricomycetes/Agaricales/Cortinariaceae/Cortinarius/dalecarlicus;art;Sopper;Fastlands-Norge med havområder;25 - 50 %;EN;"B2a(i)b(ii,iii,iv); C2a(i)"
Cortinarius inexspectatus;Brandrud;uventet slørsopp;Fungi/Basidiomycota/Agaricomycetes/Agaricales/Cortinariaceae/Cortinarius/inexspectatus;art;Sopper;Fastlands-Norge med havområder;25 - 50 %;EN;C2a(i)
Cortinarius magicus;Eichhorn;;Fungi/Basidiomycota/Agaricomycetes/Agaricales/Cortinariaceae/Cortinarius/magicus;art;Sopper;Fastlands-Norge med havområder;25 - 50 %;EN;"B2a(i)b(ii,iii); C2a(i)"
Cortinarius mussivus;(Fr.) Melot;stor bananslørsopp;Fungi/Basidiomycota/Agaricomycetes/Agaricales/Cortinariaceae/Cortinarius/mussivus;art;Sopper;Fastlands-Norge med havområder;25 - 50 %;NT;C1
Cortinarius nodosisporus;Kytöv., Niskanen & Liimat.;svartnende løvslørsopp;Fungi/Basidiomycota/Agaricomycetes/Agaricales/Cortinariaceae/Cortinarius/nodosisporus;art;Sopper;Fastlands-Norge med havområder;25 - 50 %;VU;D1
Cortinarius phrygianus;(Fr.) Fr.;frygiaslørsopp;Fungi/Basidiomycota/Agaricomycetes/Agaricales/Cortinariaceae/Cortinarius/phrygianus;art;Sopper;Fastlands-Norge med havområder;25 - 50 %;EN;"B2a(i)b(ii,iii); C2a(i)"
Cortinarius pini;Brandrud;tyrislørsopp;Fungi/Basidiomycota/Agaricomycetes/Agaricales/Cortinariaceae/Cortinarius/pini;art;Sopper;Fastlands-Norge med havområder;25 - 50 %;VU;C2a(i)
Cortinarius populinus;Brandrud;lys ospeslørsopp;Fungi/Basidiomycota/Agaricomycetes/Agaricales/Cortinariaceae/Cortinarius/populinus;art;Sopper;Fastlands-Norge med havområder;25 - 50 %;VU;"B2a(i)b(ii,iii); C2a(i)"
Cortinarius stjernegaardii;Brandrud & Frøslev;søsterslørsopp;Fungi/Basidiomycota/Agaricomycetes/Agaricales/Cortinariaceae/Cortinarius/stjernegaardii;art;Sopper;Fastlands-Norge med havområder;25 - 50 %;EN;"B2a(i)b(ii,iii); C2a(i)"
Cortinarius subpuellaris;Brandrud & Dima;;Fungi/Basidiomycota/Agaricomycetes/Agaricales/Cortinariaceae/Cortinarius/subpuellaris;art;Sopper;Fastlands-Norge med havområder;25 - 50 %;NT;D1
Cortinarius tiliae;Brandrud;lindeslørsopp;Fungi/Basidiomycota/Agaricomycetes/Agaricales/Cortinariaceae/Cortinarius/tiliae;art;Sopper;Fastlands-Norge med havområder;25 - 50 %;EN;"B2a(i)b(ii,iii); C2a(i)"
Coscinodon cribrosus;(Hedw.) Spruce;oldingmose;Plantae/Bryophyta/Bryopsida/Grimmiales/Grimmiaceae/Coscinodon/cribrosus;art;Moser;Fastlands-Norge med havområder;25 - 50 %;LC;
Cryophila lapponica;(Martini, 1928);;Animalia/Arthropoda/Insecta/Diptera/Chaoboridae/Cryophila/lapponica;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;NT;B2a(ii)c(ii)
Cumanotus beaumonti;(Eliot, 1906);;Animalia/Mollusca/Gastropoda/Nudibranchia/Cumanotidae/Cumanotus/beaumonti;art;Bløtdyr;Fastlands-Norge med havområder;25 - 50 %;LC;
Cuphophyllus atlanticus;J.B. Jordal & E. Larss.;tinnvokssopp;Fungi/Basidiomycota/Agaricomycetes/Agaricales/Hygrophoraceae/Cuphophyllus/atlanticus;art;Sopper;Fastlands-Norge med havområder;25 - 50 %;EN;"A2(c)+4(c); C1"
Cuspidaria subtorta;(G. O. Sars, 1878);;Animalia/Mollusca/Bivalvia/Anomalodesmata/Cuspidariidae/Cuspidaria/subtorta;art;Bløtdyr;Fastlands-Norge med havområder;25 - 50 %;LC;
Cynodontium suecicum;(Arnell & C.E.O.Jensen) I.Hagen;storskortemose;Plantae/Bryophyta/Bryopsida/Dicranales/Rhabdoweisiaceae/Cynodontium/suecicum;art;Moser;Fastlands-Norge med havområder;25 - 50 %;LC;
Cyrtomnium hymenophylloides;(Huebener) T.J.Kop.;hinnetrollmose;Plantae/Bryophyta/Bryopsida/Bryales/Mniaceae/Cyrtomnium/hymenophylloides;art;Moser;Fastlands-Norge med havområder;25 - 50 %;LC;
Cystopteris alpina;(Lam.) Desv.;kalklok;Plantae/Pteridophyta/Polypodiopsida/Polypodiales/Cystopteridaceae/Cystopteris/alpina;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;NT;A3(c,e)
Dacrydium vitreum;(Holbøll in Møller, 1842);;Animalia/Mollusca/Bivalvia/Mytiloida/Mytilidae/Dacrydium/vitreum;art;Bløtdyr;Fastlands-Norge med havområder;25 - 50 %;LC;
Dasysyrphus nigricornis;(Verrall, 1873);polarskogblomsterflue;Animalia/Arthropoda/Insecta/Diptera/Syrphidae/Dasysyrphus/nigricornis;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;NT;B2c(iv)
Decapauropus verticillatus;Scheller, 1971;;Animalia/Arthropoda/Pauropoda/Tetramerocerata/Pauropodidae/Decapauropus/verticillatus;art;Mangefotinger;Fastlands-Norge med havområder;25 - 50 %;DD;
Dendrodoa grossularia;(van Beneden, 1846);stikkelsbærsekkdyr;Animalia/Chordata/Ascidiacea/Pleurogona/Styelidae/Dendrodoa/grossularia;art;Sekkdyr;Fastlands-Norge med havområder;25 - 50 %;LC;
Deschampsia alpina;(L.) Roem. & Schult.;fjellbunke;Plantae/Magnoliophyta/Monocots/Poales/Poaceae/Deschampsia/alpina;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;NT;A3(c,e)
Desmophyllum pertusum;(Linnaeus, 1758);øyekorall;Animalia/Cnidaria/Anthozoa/Scleractinia/Caryophylliidae/Desmophyllum/pertusum;art;Koralldyr;Fastlands-Norge med havområder;25 - 50 %;NT;A2(a,c)
Desoria infuscata;(Murphy, 1959);;Animalia/Arthropoda/Entognatha/Collembola/Isotomidae/Desoria/infuscata;art;Spretthaler;Fastlands-Norge med havområder;25 - 50 %;LC;
Devonia perrieri;(Malard, 1904);;Animalia/Mollusca/Bivalvia/Veneroida/Montacutidae/Devonia/perrieri;art;Bløtdyr;Fastlands-Norge med havområder;25 - 50 %;LC;
Dicranodontium asperulum;(Mitt.) Broth.;raspljåmose;Plantae/Bryophyta/Bryopsida/Dicranales/Leucobryaceae/Dicranodontium/asperulum;art;Moser;Fastlands-Norge med havområder;25 - 50 %;LC;
Dicranodontium uncinatum;(Harv.) A.Jaeger;bergljåmose;Plantae/Bryophyta/Bryopsida/Dicranales/Leucobryaceae/Dicranodontium/uncinatum;art;Moser;Fastlands-Norge med havområder;25 - 50 %;LC;
Dicranota crassicauda;Tjeder, 1972;;Animalia/Arthropoda/Insecta/Diptera/Pediciidae/Dicranota/crassicauda;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;LC;
Dicranum groenlandicum;Brid.;putesigd;Plantae/Bryophyta/Bryopsida/Dicranales/Dicranaceae/Dicranum/groenlandicum;art;Moser;Fastlands-Norge med havområder;25 - 50 %;LC;
Dicranum laevidens;R.S.Williams;polarsigd;Plantae/Bryophyta/Bryopsida/Dicranales/Dicranaceae/Dicranum/laevidens;art;Moser;Fastlands-Norge med havområder;25 - 50 %;LC;
Didemnum albidum;(Verrill, 1871);hvitsekkdyr;Animalia/Chordata/Ascidiacea/Enterogona/Didemnidae/Didemnum/albidum;art;Sekkdyr;Fastlands-Norge med havområder;25 - 50 %;LC;
Didymodon asperifolius;(Mitt.) H.A.Crum, Steere & L.E.Anderson;heikurlemose;Plantae/Bryophyta/Bryopsida/Dicranales/Pottiaceae/Didymodon/asperifolius;art;Moser;Fastlands-Norge med havområder;25 - 50 %;VU;"A3(c); C1+2a(i)"
Didymodon maschalogenus;(Renauld & Cardot) Broth.;knoppkurlemose;Plantae/Bryophyta/Bryopsida/Dicranales/Pottiaceae/Didymodon/maschalogenus;art;Moser;Fastlands-Norge med havområder;25 - 50 %;EN;B2a(i)b(ii,iii)
Diplosoma listerianum;(H. Milne-Edwards, 1841);svampsekkdyr;Animalia/Chordata/Ascidiacea/Enterogona/Didemnidae/Diplosoma/listerianum;art;Sekkdyr;Fastlands-Norge med havområder;25 - 50 %;LC;
Dipogon vechti;Day, 1979;taigaveiveps;Animalia/Arthropoda/Insecta/Hymenoptera/Pompilidae/Dipogon/vechti;art;Vepser;Fastlands-Norge med havområder;25 - 50 %;VU;B2a((i))b(i,ii,iii)
Distichium hagenii;Ryan ex H.Philib.;polarplanmose;Plantae/Bryophyta/Bryopsida/Dicranales/Distichiaceae/Distichium/hagenii;art;Moser;Fastlands-Norge med havområder;25 - 50 %;CR;C2a(i)
Dixella dyari;(Garrett, 1924);;Animalia/Arthropoda/Insecta/Diptera/Dixidae/Dixella/dyari;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;LC;
Docosia landrocki;Lastovka & Sevcik, 2006;;Animalia/Arthropoda/Insecta/Diptera/Mycetophilidae/Docosia/landrocki;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;NT;B2a((i))b(iii)
Dolichopus cinctipes;Wahlberg, 1850;;Animalia/Arthropoda/Insecta/Diptera/Dolichopodidae/Dolichopus/cinctipes;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;LC;
Dolichopus lancearius;Hedström, 1966;;Animalia/Arthropoda/Insecta/Diptera/Dolichopodidae/Dolichopus/lancearius;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;VU;B2a((i))b(iii)
Dolichopus mannerheimi;Zetterstedt, 1838;;Animalia/Arthropoda/Insecta/Diptera/Dolichopodidae/Dolichopus/mannerheimi;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;LC;
Douinia ovata;(Dicks.) H.Buch;vingemose;Plantae/Marchantiophyta/Jungermanniopsida/Jungermanniales/Scapaniaceae/Douinia/ovata;art;Moser;Fastlands-Norge med havområder;25 - 50 %;LC;
Draba alpina;L.;gullrublom;Plantae/Magnoliophyta/Eudicots/Brassicales/Brassicaceae/Draba/alpina;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;VU;A3(c,e)
Draba cinerea;Adams;grårublom;Plantae/Magnoliophyta/Eudicots/Brassicales/Brassicaceae/Draba/cinerea;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;NT;A2(a,c)
Draba hirta;L.;;Plantae/Magnoliophyta/Eudicots/Brassicales/Brassicaceae/Draba/hirta;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Draba nivalis;Lilj.;snørublom;Plantae/Magnoliophyta/Eudicots/Brassicales/Brassicaceae/Draba/nivalis;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;NT;A3(c,e)
Draba oxycarpa;Sommerf.;bleikrublom;Plantae/Magnoliophyta/Eudicots/Brassicales/Brassicaceae/Draba/oxycarpa;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;VU;"A3(c,e); B2a((i))b(i,ii,iii,iv,v)"
Draba rupestris;R.Br.;bergrublom;Plantae/Magnoliophyta/Eudicots/Brassicales/Brassicaceae/Draba/rupestris;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Drepanocladus angustifolius;(Hedenäs) Hedenäs & C.Rosborg;snøgulmose;Plantae/Bryophyta/Bryopsida/Hypnales/Amblystegiaceae/Drepanocladus/angustifolius;art;Moser;Fastlands-Norge med havområder;25 - 50 %;VU;A3(c)
Drepanocladus turgescens;(T.Jensen) Broth.;kvapgulmose;Plantae/Bryophyta/Bryopsida/Hypnales/Amblystegiaceae/Drepanocladus/turgescens;art;Moser;Fastlands-Norge med havområder;25 - 50 %;VU;"A3(c); C1"
Elachista tanaella;Aarvik & Berggren, 2004;;Animalia/Arthropoda/Insecta/Lepidoptera/Elachistidae/Elachista/tanaella;art;Sommerfugler;Fastlands-Norge med havområder;25 - 50 %;NT;D2
Elymus alaskanus;(Scribn. & Merr.) Á.Löve;;Plantae/Magnoliophyta/Monocots/Poales/Poaceae/Elymus/alaskanus;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Elymus fibrosus;(Schrenk) Tzvelev;russekveke;Plantae/Magnoliophyta/Monocots/Poales/Poaceae/Elymus/fibrosus;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;EN;B1a(ii)b(i,ii,iii,iv,v)+2a(ii)b(i,ii,iii,iv,v)
Elymus mutabilis;(Drobow) Tzvelev;finnmarkskveke;Plantae/Magnoliophyta/Monocots/Poales/Poaceae/Elymus/mutabilis;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Empis dasychira;Mik, 1878;;Animalia/Arthropoda/Insecta/Diptera/Empididae/Empis/dasychira;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;DD;
Encalypta brevipes;Schljakov;frostklokkemose;Plantae/Bryophyta/Bryopsida/Encalyptales/Encalyptaceae/Encalypta/brevipes;art;Moser;Fastlands-Norge med havområder;25 - 50 %;VU;"C1+2a(i); D1"
Encalypta mutica;I.Hagen;buttklokkemose;Plantae/Bryophyta/Bryopsida/Encalyptales/Encalyptaceae/Encalypta/mutica;art;Moser;Fastlands-Norge med havområder;25 - 50 %;VU;D1
Encalypta procera;Bruch;trådklokkemose;Plantae/Bryophyta/Bryopsida/Encalyptales/Encalyptaceae/Encalypta/procera;art;Moser;Fastlands-Norge med havområder;25 - 50 %;LC;
Ensis siliqua;(L., 1758);slireskjell;Animalia/Mollusca/Bivalvia/Veneroida/Pharidae/Ensis/siliqua;art;Bløtdyr;Fastlands-Norge med havområder;25 - 50 %;LC;
Entoloma eminens;Kokkonen;;Fungi/Basidiomycota/Agaricomycetes/Agaricales/Entolomataceae/Entoloma/eminens;art;Sopper;Fastlands-Norge med havområder;25 - 50 %;NT;C1
Entoloma holmvassdalenense;Eidissen, Lorås & Weholt;;Fungi/Basidiomycota/Agaricomycetes/Agaricales/Entolomataceae/Entoloma/holmvassdalenense;art;Sopper;Fastlands-Norge med havområder;25 - 50 %;NT;C1
Entoloma luteobasis;Ebert & E. Ludw.;;Fungi/Basidiomycota/Agaricomycetes/Agaricales/Entolomataceae/Entoloma/luteobasis;art;Sopper;Fastlands-Norge med havområder;25 - 50 %;VU;C1
